year,event,round,heat,name,scores
2012,Volcom Fiji Pro,Round 2,Heat 1 ,Kelly Slater,"[6.67, 0.5, 6.17, 7.23, 8.67, 0.57]"
2012,Volcom Fiji Pro,Round 2,Heat 1 ,Isei Tokovou,"[1.67, 3.17, 2.93, 1.73, 2.37, 1.37]"
2012,Volcom Fiji Pro,Round 2,Heat 2 ,Taj Burrow,"[0.5, 6.83, 5.17, 1.67, 0.57, 0.7, 5.83]"
2012,Volcom Fiji Pro,Round 2,Heat 2 ,Willian Cardoso,"[1.67, 3.33, 0.6, 4.1, 3.97, 2.17]"
2012,Volcom Fiji Pro,Round 2,Heat 3 ,Josh Kerr,"[1.0, 0.57, 1.23, 8.5, 0.57, 3.4, 3.5]"
2012,Volcom Fiji Pro,Round 2,Heat 3 ,Taylor Knox,"[6.23, 0.87, 2.33]"
2012,Volcom Fiji Pro,Round 2,Heat 4 ,Julian Wilson,"[9.1, 9.47, 5.5, 1.57]"
2012,Volcom Fiji Pro,Round 2,Heat 4 ,Patrick Gudauskas,"[2.33, 4.5, 1.93, 2.03, 3.0]"
2012,Volcom Fiji Pro,Round 2,Heat 5 ,Freddy Patacchia Jr.,"[5.67, 0.43, 2.67, 0.33, 6.17, 0.23, 7.5]"
2012,Volcom Fiji Pro,Round 2,Heat 5 ,Michel Bourez,"[4.17, 1.07, 1.07, 0.37, 0.43, 1.5, 6.37]"
2012,Volcom Fiji Pro,Round 2,Heat 6 ,Gabriel Medina,"[10.0, 5.5, 1.5, 1.27, 2.5, 1.77, 6.67, 0.5]"
2012,Volcom Fiji Pro,Round 2,Heat 6 ,Yadin Nicol,"[6.67, 2.7, 2.0, 0.23, 0.57, 2.43]"
2012,Volcom Fiji Pro,Round 2,Heat 7 ,Miguel Pupo,"[5.0, 6.0, 1.33, 0.23, 0.27, 1.67, 8.93, 8.03]"
2012,Volcom Fiji Pro,Round 2,Heat 7 ,Matt Wilkinson,"[7.83, 2.17, 5.67, 5.47, 0.5, 0.77, 7.93]"
2012,Volcom Fiji Pro,Round 2,Heat 8 ,Adrian Buchan,"[1.93, 5.83, 0.83, 8.17, 1.03, 8.87, 0.27, 0.27, 7.9]"
2012,Volcom Fiji Pro,Round 2,Heat 8 ,Kieren Perrow,"[1.17, 6.83, 1.83, 1.27, 0.9, 0.5, 0.5, 0.97, 9.4]"
2012,Volcom Fiji Pro,Round 2,Heat 9 ,Tiago Pires,"[1.0, 0.5, 0.37, 3.77, 5.0, 6.0]"
2012,Volcom Fiji Pro,Round 2,Heat 9 ,Kolohe Andino,"[2.17, 0.43, 1.13, 3.5, 0.87, 0.5, 2.43, 0.57]"
