,year,event,round,heat,name,scores
0,2008,Quiksilver Pro Gold Coast,Round 2,Heat 1 ,Andy Irons,"[6.67, 9.7, 1.07, 2.83]"
1,2008,Quiksilver Pro Gold Coast,Round 2,Heat 1 ,Tamaroa McComb,"[0.5, 1.0, 1.57, 0.8, 0.5, 4.33, 0.53]"
2,2008,Quiksilver Pro Gold Coast,Round 2,Heat 2 ,Julian Wilson,"[8.17, 0.43, 5.17, 5.83, 5.0]"
3,2008,Quiksilver Pro Gold Coast,Round 2,Heat 2 ,Pancho Sullivan,"[1.33, 7.0, 5.17, 0.93, 6.23, 4.67]"
4,2008,Quiksilver Pro Gold Coast,Round 2,Heat 3 ,Jeremy Flores,"[1.93, 4.83, 0.67, 6.0, 0.43]"
5,2008,Quiksilver Pro Gold Coast,Round 2,Heat 3 ,Michel Bourez,"[3.5, 0.5, 1.67, 0.57, 4.5, 1.17, 0.27, 0.23, 2.77]"
6,2008,Quiksilver Pro Gold Coast,Round 2,Heat 4 ,C.J. Hobgood,"[0.43, 6.33, 1.0, 5.83]"
7,2008,Quiksilver Pro Gold Coast,Round 2,Heat 4 ,Nic Muscroft,"[2.67, 7.17, 4.83]"
8,2008,Quiksilver Pro Gold Coast,Round 2,Heat 5 ,Tom Whitaker,"[3.33, 0.23, 1.7, 2.17, 4.17, 6.83, 5.5]"
9,2008,Quiksilver Pro Gold Coast,Round 2,Heat 5 ,Daniel Ross,"[1.5, 4.83, 1.83, 6.0]"
10,2008,Quiksilver Pro Gold Coast,Round 2,Heat 6 ,Roy Powers,"[7.17, 1.0, 2.0, 6.57, 5.6]"
11,2008,Quiksilver Pro Gold Coast,Round 2,Heat 6 ,Damien Hobgood,"[6.17, 3.43]"
12,2008,Quiksilver Pro Gold Coast,Round 2,Heat 7 ,Kieren Perrow,"[7.67, 7.17, 3.5, 4.33, 1.8, 6.13]"
13,2008,Quiksilver Pro Gold Coast,Round 2,Heat 7 ,Mick Campbell,"[3.17, 1.9, 5.33, 1.6, 7.33]"
14,2008,Quiksilver Pro Gold Coast,Round 2,Heat 8 ,Adrian Buchan,"[9.0, 8.17, 3.67, 8.17]"
15,2008,Quiksilver Pro Gold Coast,Round 2,Heat 8 ,Jihad Khodr,"[2.67, 6.0, 6.5, 4.73]"
16,2008,Quiksilver Pro Gold Coast,Round 2,Heat 9 ,Rodrigo Dornelles,"[1.67, 3.83, 1.37, 4.33, 0.43, 6.0, 5.7]"
17,2008,Quiksilver Pro Gold Coast,Round 2,Heat 10 ,Neco Padaratz,[]
18,2008,Quiksilver Pro Gold Coast,Round 2,Heat 10 ,Aritz Aranburu,[]
19,2008,Quiksilver Pro Gold Coast,Round 2,Heat 11 ,Leonardo Neves,[]
