,year,event,round,heat,name,top_two_waves_total
0,2008,Quiksilver Pro Gold Coast,Round 2,Heat 1 ,Andy Irons,16.369999999999997
1,2008,Quiksilver Pro Gold Coast,Round 2,Heat 1 ,Tamaroa McComb,5.9
2,2008,Quiksilver Pro Gold Coast,Round 2,Heat 2 ,Julian Wilson,14.0
3,2008,Quiksilver Pro Gold Coast,Round 2,Heat 2 ,Pancho Sullivan,13.23
4,2008,Quiksilver Pro Gold Coast,Round 2,Heat 3 ,Jeremy Flores,10.83
5,2008,Quiksilver Pro Gold Coast,Round 2,Heat 3 ,Michel Bourez,8.0
6,2008,Quiksilver Pro Gold Coast,Round 2,Heat 4 ,C.J. Hobgood,12.16
7,2008,Quiksilver Pro Gold Coast,Round 2,Heat 4 ,Nic Muscroft,12.0
8,2008,Quiksilver Pro Gold Coast,Round 2,Heat 5 ,Tom Whitaker,12.33
9,2008,Quiksilver Pro Gold Coast,Round 2,Heat 5 ,Daniel Ross,10.83
10,2008,Quiksilver Pro Gold Coast,Round 2,Heat 6 ,Roy Powers,13.74
11,2008,Quiksilver Pro Gold Coast,Round 2,Heat 6 ,Damien Hobgood,9.6
12,2008,Quiksilver Pro Gold Coast,Round 2,Heat 7 ,Kieren Perrow,14.84
13,2008,Quiksilver Pro Gold Coast,Round 2,Heat 7 ,Mick Campbell,12.66
14,2008,Quiksilver Pro Gold Coast,Round 2,Heat 8 ,Adrian Buchan,17.17
15,2008,Quiksilver Pro Gold Coast,Round 2,Heat 8 ,Jihad Khodr,12.5
16,2008,Quiksilver Pro Gold Coast,Round 2,Heat 9 ,Rodrigo Dornelles,11.7
17,2008,Quiksilver Pro Gold Coast,Round 2,Heat 10 ,Neco Padaratz,0.0
18,2008,Quiksilver Pro Gold Coast,Round 2,Heat 10 ,Aritz Aranburu,0.0
19,2008,Quiksilver Pro Gold Coast,Round 2,Heat 11 ,Leonardo Neves,0.0
20,2008,Quiksilver Pro Gold Coast,Round 2,Heat 11 ,Tiago Pires,13.67
21,2008,Quiksilver Pro Gold Coast,Round 2,Heat 12 ,Jay Thompson,7.33
