,year,event,round,heat,date
0,2008,Billabong Pipeline Masters,Round 1,Heat 1,Ended 
1,2008,Billabong Pipeline Masters,Round 1,Heat 2,Ended 
2,2008,Billabong Pipeline Masters,Round 1,Heat 3,Ended 
3,2008,Billabong Pipeline Masters,Round 1,Heat 4,Ended 
4,2008,Billabong Pipeline Masters,Round 1,Heat 5,Ended 
5,2008,Billabong Pipeline Masters,Round 1,Heat 6,Ended 
6,2008,Billabong Pipeline Masters,Round 1,Heat 7,Ended 
7,2008,Billabong Pipeline Masters,Round 1,Heat 8,Ended 
8,2008,Billabong Pipeline Masters,Round 1,Heat 9,Ended 
9,2008,Billabong Pipeline Masters,Round 1,Heat 10,Ended 
10,2008,Billabong Pipeline Masters,Round 1,Heat 11,Ended 
11,2008,Billabong Pipeline Masters,Round 1,Heat 12,Ended 
12,2008,Billabong Pipeline Masters,Round 1,Heat 13,Ended 
13,2008,Billabong Pipeline Masters,Round 1,Heat 14,Ended 
14,2008,Billabong Pipeline Masters,Round 1,Heat 15,Ended 
15,2008,Billabong Pipeline Masters,Round 1,Heat 16,Ended 
16,2008,Billabong Pipeline Masters,Round 2,Heat 1,Ended 
17,2008,Billabong Pipeline Masters,Round 2,Heat 2,Ended 
18,2008,Billabong Pipeline Masters,Round 2,Heat 3,Ended 
19,2008,Billabong Pipeline Masters,Round 2,Heat 4,Ended 
20,2008,Billabong Pipeline Masters,Round 2,Heat 5,Ended 
21,2008,Billabong Pipeline Masters,Round 2,Heat 6,Ended 
22,2008,Billabong Pipeline Masters,Round 2,Heat 7,Ended 
23,2008,Billabong Pipeline Masters,Round 2,Heat 8,Ended 
24,2008,Billabong Pipeline Masters,Round 2,Heat 9,Ended 
25,2008,Billabong Pipeline Masters,Round 2,Heat 10,Ended 
26,2008,Billabong Pipeline Masters,Round 2,Heat 11,Ended 
27,2008,Billabong Pipeline Masters,Round 2,Heat 12,Ended 
28,2008,Billabong Pipeline Masters,Round 2,Heat 13,Ended 
29,2008,Billabong Pipeline Masters,Round 2,Heat 14,Ended 
30,2008,Billabong Pipeline Masters,Round 2,Heat 15,Ended 
31,2008,Billabong Pipeline Masters,Round 2,Heat 16,Ended 
32,2008,Billabong Pipeline Masters,Round 3,Heat 1,Ended 
33,2008,Billabong Pipeline Masters,Round 3,Heat 2,Ended 
34,2008,Billabong Pipeline Masters,Round 3,Heat 3,Ended 
35,2008,Billabong Pipeline Masters,Round 3,Heat 4,Ended 
36,2008,Billabong Pipeline Masters,Round 3,Heat 5,Ended 
37,2008,Billabong Pipeline Masters,Round 3,Heat 6,Ended 
38,2008,Billabong Pipeline Masters,Round 3,Heat 7,Ended 
39,2008,Billabong Pipeline Masters,Round 3,Heat 8,Ended 
40,2008,Billabong Pipeline Masters,Round 3,Heat 9,Ended 
41,2008,Billabong Pipeline Masters,Round 3,Heat 10,Ended 
42,2008,Billabong Pipeline Masters,Round 3,Heat 11,Ended 
43,2008,Billabong Pipeline Masters,Round 3,Heat 12,Ended 
44,2008,Billabong Pipeline Masters,Round 3,Heat 13,Ended 
45,2008,Billabong Pipeline Masters,Round 3,Heat 14,Ended 
46,2008,Billabong Pipeline Masters,Round 3,Heat 15,Ended 
47,2008,Billabong Pipeline Masters,Round 3,Heat 16,Ended 
48,2008,Billabong Pipeline Masters,Round 4,Heat 1,Ended 
49,2008,Billabong Pipeline Masters,Round 4,Heat 2,Ended 
50,2008,Billabong Pipeline Masters,Round 4,Heat 3,Ended 
51,2008,Billabong Pipeline Masters,Round 4,Heat 4,Ended 
52,2008,Billabong Pipeline Masters,Round 4,Heat 5,Ended 
53,2008,Billabong Pipeline Masters,Round 4,Heat 6,Ended 
54,2008,Billabong Pipeline Masters,Round 4,Heat 7,Ended 
55,2008,Billabong Pipeline Masters,Round 4,Heat 8,Ended 
56,2008,Billabong Pipeline Masters,Quarterfinal,Heat 1,Ended 
57,2008,Billabong Pipeline Masters,Quarterfinal,Heat 2,Ended 
58,2008,Billabong Pipeline Masters,Quarterfinal,Heat 3,Ended 
59,2008,Billabong Pipeline Masters,Quarterfinal,Heat 4,Ended 
60,2008,Billabong Pipeline Masters,Semifinal,Heat 1,Ended 
61,2008,Billabong Pipeline Masters,Semifinal,Heat 2,Ended 
62,2008,Billabong Pipeline Masters,Final,Heat 1,Ended 
0,2009,Billabong Pipeline Masters,Round 1,Heat 1,Ended 
1,2009,Billabong Pipeline Masters,Round 1,Heat 2,Ended 
2,2009,Billabong Pipeline Masters,Round 1,Heat 3,Ended 
3,2009,Billabong Pipeline Masters,Round 1,Heat 4,Ended 
4,2009,Billabong Pipeline Masters,Round 1,Heat 5,Ended 
5,2009,Billabong Pipeline Masters,Round 1,Heat 6,Ended 
6,2009,Billabong Pipeline Masters,Round 1,Heat 7,Ended 
7,2009,Billabong Pipeline Masters,Round 1,Heat 8,Ended 
8,2009,Billabong Pipeline Masters,Round 1,Heat 9,Ended 
9,2009,Billabong Pipeline Masters,Round 1,Heat 10,Ended 
10,2009,Billabong Pipeline Masters,Round 1,Heat 11,Ended 
11,2009,Billabong Pipeline Masters,Round 1,Heat 12,Ended 
12,2009,Billabong Pipeline Masters,Round 1,Heat 13,Ended 
13,2009,Billabong Pipeline Masters,Round 1,Heat 14,Ended 
14,2009,Billabong Pipeline Masters,Round 1,Heat 15,Ended 
15,2009,Billabong Pipeline Masters,Round 1,Heat 16,Ended 
16,2009,Billabong Pipeline Masters,Round 2,Heat 1,Ended 
17,2009,Billabong Pipeline Masters,Round 2,Heat 2,Ended 
18,2009,Billabong Pipeline Masters,Round 2,Heat 3,Ended 
19,2009,Billabong Pipeline Masters,Round 2,Heat 4,Ended 
20,2009,Billabong Pipeline Masters,Round 2,Heat 5,Ended 
21,2009,Billabong Pipeline Masters,Round 2,Heat 6,Ended 
22,2009,Billabong Pipeline Masters,Round 2,Heat 7,Ended 
23,2009,Billabong Pipeline Masters,Round 2,Heat 8,Ended 
24,2009,Billabong Pipeline Masters,Round 2,Heat 9,Ended 
25,2009,Billabong Pipeline Masters,Round 2,Heat 10,Ended 
26,2009,Billabong Pipeline Masters,Round 2,Heat 11,Ended 
27,2009,Billabong Pipeline Masters,Round 2,Heat 12,Ended 
28,2009,Billabong Pipeline Masters,Round 2,Heat 13,Ended 
29,2009,Billabong Pipeline Masters,Round 2,Heat 14,Ended 
30,2009,Billabong Pipeline Masters,Round 2,Heat 15,Ended 
31,2009,Billabong Pipeline Masters,Round 2,Heat 16,Ended 
32,2009,Billabong Pipeline Masters,Round 3,Heat 1,Ended 
33,2009,Billabong Pipeline Masters,Round 3,Heat 2,Ended 
34,2009,Billabong Pipeline Masters,Round 3,Heat 3,Ended 
35,2009,Billabong Pipeline Masters,Round 3,Heat 4,Ended 
36,2009,Billabong Pipeline Masters,Round 3,Heat 5,Ended 
37,2009,Billabong Pipeline Masters,Round 3,Heat 6,Ended 
38,2009,Billabong Pipeline Masters,Round 3,Heat 7,Ended 
39,2009,Billabong Pipeline Masters,Round 3,Heat 8,Ended 
40,2009,Billabong Pipeline Masters,Round 3,Heat 9,Ended 
41,2009,Billabong Pipeline Masters,Round 3,Heat 10,Ended 
42,2009,Billabong Pipeline Masters,Round 3,Heat 11,Ended 
43,2009,Billabong Pipeline Masters,Round 3,Heat 12,Ended 
44,2009,Billabong Pipeline Masters,Round 3,Heat 13,Ended 
45,2009,Billabong Pipeline Masters,Round 3,Heat 14,Ended 
46,2009,Billabong Pipeline Masters,Round 3,Heat 15,Ended 
47,2009,Billabong Pipeline Masters,Round 3,Heat 16,Ended 
48,2009,Billabong Pipeline Masters,Round 4,Heat 1,Ended 
49,2009,Billabong Pipeline Masters,Round 4,Heat 2,Ended 
50,2009,Billabong Pipeline Masters,Round 4,Heat 3,Ended 
51,2009,Billabong Pipeline Masters,Round 4,Heat 4,Ended 
52,2009,Billabong Pipeline Masters,Round 4,Heat 5,Ended 
53,2009,Billabong Pipeline Masters,Round 4,Heat 6,Ended 
54,2009,Billabong Pipeline Masters,Round 4,Heat 7,Ended 
55,2009,Billabong Pipeline Masters,Round 4,Heat 8,Ended 
56,2009,Billabong Pipeline Masters,Quarterfinal,Heat 1,Ended 
57,2009,Billabong Pipeline Masters,Quarterfinal,Heat 2,Ended 
58,2009,Billabong Pipeline Masters,Quarterfinal,Heat 3,Ended 
59,2009,Billabong Pipeline Masters,Quarterfinal,Heat 4,Ended 
60,2009,Billabong Pipeline Masters,Semifinal,Heat 1,Ended 
61,2009,Billabong Pipeline Masters,Semifinal,Heat 2,Ended 
62,2009,Billabong Pipeline Masters,Final,Heat 1,Ended 
0,2010,Billabong Pipe Masters,Round 1,Heat 1,Ended 
1,2010,Billabong Pipe Masters,Round 1,Heat 2,Ended 
2,2010,Billabong Pipe Masters,Round 1,Heat 3,Ended 
3,2010,Billabong Pipe Masters,Round 1,Heat 4,Ended 
4,2010,Billabong Pipe Masters,Round 1,Heat 5,Ended 
5,2010,Billabong Pipe Masters,Round 1,Heat 6,Ended 
6,2010,Billabong Pipe Masters,Round 1,Heat 7,Ended 
7,2010,Billabong Pipe Masters,Round 1,Heat 8,Ended 
8,2010,Billabong Pipe Masters,Round 1,Heat 9,Ended 
9,2010,Billabong Pipe Masters,Round 1,Heat 10,Ended 
10,2010,Billabong Pipe Masters,Round 1,Heat 11,Ended 
11,2010,Billabong Pipe Masters,Round 1,Heat 12,Ended 
