,year,event,round,heat,name,top_two_waves_total
0,2008,Billabong Pipeline Masters,Round 2,Heat 1 ,Kamalei Alexander,11.9
1,2008,Billabong Pipeline Masters,Round 2,Heat 1 ,Mikael Picon,11.67
2,2008,Billabong Pipeline Masters,Round 2,Heat 2 ,Evan Valiere,14.57
3,2008,Billabong Pipeline Masters,Round 2,Heat 2 ,Mick Campbell,14.34
4,2008,Billabong Pipeline Masters,Round 2,Heat 3 ,Jamie O'Brien,15.0
5,2008,Billabong Pipeline Masters,Round 2,Heat 3 ,Roy Powers,10.84
6,2008,Billabong Pipeline Masters,Round 2,Heat 4 ,Chris Ward,19.9
7,2008,Billabong Pipeline Masters,Round 2,Heat 4 ,Tory Barron,11.73
8,2008,Billabong Pipeline Masters,Round 2,Heat 5 ,Damien Hobgood,15.23
9,2008,Billabong Pipeline Masters,Round 2,Heat 5 ,Dave Wassel,9.9
10,2008,Billabong Pipeline Masters,Round 2,Heat 6 ,Dusty Payne,17.16
11,2008,Billabong Pipeline Masters,Round 2,Heat 6 ,Heitor Alves,11.87
12,2008,Billabong Pipeline Masters,Round 2,Heat 7 ,Daniel Wills,16.259999999999998
13,2008,Billabong Pipeline Masters,Round 2,Heat 7 ,Leonardo Neves,12.1
14,2008,Billabong Pipeline Masters,Round 2,Heat 8 ,Ezra Sitt,13.0
15,2008,Billabong Pipeline Masters,Round 2,Heat 8 ,Dayyan Neve,10.84
16,2008,Billabong Pipeline Masters,Round 2,Heat 9 ,Kieren Perrow,17.5
17,2008,Billabong Pipeline Masters,Round 2,Heat 9 ,John John Florence,14.83
18,2008,Billabong Pipeline Masters,Round 2,Heat 10 ,Aritz Aranburu,16.240000000000002
19,2008,Billabong Pipeline Masters,Round 2,Heat 10 ,Pancho Sullivan,15.84
20,2008,Billabong Pipeline Masters,Round 2,Heat 11 ,Tim Reyes,8.6
21,2008,Billabong Pipeline Masters,Round 2,Heat 11 ,Mark Healey,3.94
22,2008,Billabong Pipeline Masters,Round 2,Heat 12 ,Marcus Hickman,11.83
23,2008,Billabong Pipeline Masters,Round 2,Heat 12 ,Ben Dunn,9.8
24,2008,Billabong Pipeline Masters,Round 2,Heat 13 ,Bruce Irons,17.54
25,2008,Billabong Pipeline Masters,Round 2,Heat 13 ,Torrey Meister,13.37
26,2008,Billabong Pipeline Masters,Round 2,Heat 14 ,Kekoa Bacalso,15.1
27,2008,Billabong Pipeline Masters,Round 2,Heat 14 ,Makuakai Rothman,12.67
28,2008,Billabong Pipeline Masters,Round 2,Heat 15 ,Shane Dorian,13.0
29,2008,Billabong Pipeline Masters,Round 2,Heat 15 ,Gregoire Sylvain,13.0
30,2008,Billabong Pipeline Masters,Round 2,Heat 16 ,Dean Morrison,14.23
31,2008,Billabong Pipeline Masters,Round 2,Heat 16 ,Jesse Merle-Jones,7.24
32,2008,Billabong Pipeline Masters,Round 1,Heat 1 ,Kamalei Alexander,15.66
33,2008,Billabong Pipeline Masters,Round 1,Heat 1 ,Daniel Ross,11.16
34,2008,Billabong Pipeline Masters,Round 1,Heat 2 ,Jesse Merle-Jones,10.0
35,2008,Billabong Pipeline Masters,Round 1,Heat 2 ,Tj Barron,8.33
36,2008,Billabong Pipeline Masters,Round 1,Heat 3 ,Ezra Sitt,11.33
37,2008,Billabong Pipeline Masters,Round 1,Heat 3 ,Daniel Jones,8.5
38,2008,Billabong Pipeline Masters,Round 1,Heat 4 ,Tory Barron,13.84
39,2008,Billabong Pipeline Masters,Round 1,Heat 4 ,Royden Bryson,10.84
40,2008,Billabong Pipeline Masters,Round 1,Heat 5 ,Aritz Aranburu,15.0
41,2008,Billabong Pipeline Masters,Round 1,Heat 5 ,Kalani Chapman,11.6
42,2008,Billabong Pipeline Masters,Round 1,Heat 6 ,Dave Wassel,13.34
43,2008,Billabong Pipeline Masters,Round 1,Heat 6 ,Ricky Basnett,9.17
44,2008,Billabong Pipeline Masters,Round 1,Heat 7 ,Evan Valiere,12.57
45,2008,Billabong Pipeline Masters,Round 1,Heat 7 ,Olamana Eleogram,12.34
46,2008,Billabong Pipeline Masters,Round 1,Heat 8 ,John John Florence,17.9
47,2008,Billabong Pipeline Masters,Round 1,Heat 8 ,Jay Thompson,14.4
48,2008,Billabong Pipeline Masters,Round 1,Heat 9 ,Torrey Meister,16.34
49,2008,Billabong Pipeline Masters,Round 1,Heat 9 ,Rodrigo Dornelles,8.5
50,2008,Billabong Pipeline Masters,Round 1,Heat 10 ,Jamie O'Brien,14.5
51,2008,Billabong Pipeline Masters,Round 1,Heat 10 ,Dustin Barca,11.5
52,2008,Billabong Pipeline Masters,Round 1,Heat 11 ,Mark Healey,11.17
53,2008,Billabong Pipeline Masters,Round 1,Heat 11 ,Jihad Khodr,7.73
54,2008,Billabong Pipeline Masters,Round 1,Heat 12 ,Dusty Payne,17.6
55,2008,Billabong Pipeline Masters,Round 1,Heat 12 ,Manoa Drollet,11.0
56,2008,Billabong Pipeline Masters,Round 1,Heat 13 ,Daniel Wills,15.6
57,2008,Billabong Pipeline Masters,Round 1,Heat 13 ,Laurie Towner,12.67
58,2008,Billabong Pipeline Masters,Round 1,Heat 14 ,Makuakai Rothman,16.560000000000002
59,2008,Billabong Pipeline Masters,Round 1,Heat 14 ,Teale Vanner,16.560000000000002
60,2008,Billabong Pipeline Masters,Round 1,Heat 15 ,Shane Dorian,16.43
61,2008,Billabong Pipeline Masters,Round 1,Heat 15 ,Gregoire Sylvain,16.43
62,2008,Billabong Pipeline Masters,Round 1,Heat 16 ,Marcus Hickman,12.36
63,2008,Billabong Pipeline Masters,Round 1,Heat 16 ,Mark Occhilupo,11.44
64,2008,Billabong Pipeline Masters,Round 3,Heat 1 ,Marcus Hickman,14.56
65,2008,Billabong Pipeline Masters,Round 3,Heat 1 ,Mick Fanning,13.83
66,2008,Billabong Pipeline Masters,Round 3,Heat 2 ,Luke Stedman,7.34
67,2008,Billabong Pipeline Masters,Round 3,Heat 2 ,Damien Hobgood,5.5
68,2008,Billabong Pipeline Masters,Round 3,Heat 3 ,Joel Parkinson,20.0
69,2008,Billabong Pipeline Masters,Round 3,Heat 3 ,Dusty Payne,15.16
70,2008,Billabong Pipeline Masters,Round 3,Heat 4 ,Tim Reyes,14.83
71,2008,Billabong Pipeline Masters,Round 3,Heat 4 ,Freddy Patacchia Jr.,10.56
72,2008,Billabong Pipeline Masters,Round 3,Heat 5 ,Kelly Slater,17.77
73,2008,Billabong Pipeline Masters,Round 3,Heat 5 ,Ezra Sitt,7.9
74,2008,Billabong Pipeline Masters,Round 3,Heat 6 ,Kieren Perrow,14.83
75,2008,Billabong Pipeline Masters,Round 3,Heat 6 ,Taylor Knox,10.5
76,2008,Billabong Pipeline Masters,Round 3,Heat 7 ,Aritz Aranburu,11.5
77,2008,Billabong Pipeline Masters,Round 3,Heat 7 ,Bobby Martinez,6.6
78,2008,Billabong Pipeline Masters,Round 3,Heat 8 ,Jamie O'Brien,16.5
79,2008,Billabong Pipeline Masters,Round 3,Heat 8 ,Jeremy Flores,9.86
80,2008,Billabong Pipeline Masters,Round 3,Heat 9 ,Adrian Buchan,18.259999999999998
81,2008,Billabong Pipeline Masters,Round 3,Heat 9 ,Daniel Wills,17.939999999999998
82,2008,Billabong Pipeline Masters,Round 3,Heat 10 ,Adriano de Souza,13.83
83,2008,Billabong Pipeline Masters,Round 3,Heat 10 ,Kekoa Bacalso,12.16
