,year,event,round,heat,date
0,2014,Billabong Pipe Masters,Round 1,Heat 1,2014-12-12
1,2014,Billabong Pipe Masters,Round 1,Heat 2,2014-12-12
2,2014,Billabong Pipe Masters,Round 1,Heat 3,2014-12-12
3,2014,Billabong Pipe Masters,Round 1,Heat 4,2014-12-12
4,2014,Billabong Pipe Masters,Round 1,Heat 5,2014-12-12
5,2014,Billabong Pipe Masters,Round 1,Heat 6,2014-12-12
6,2014,Billabong Pipe Masters,Round 1,Heat 7,2014-12-12
7,2014,Billabong Pipe Masters,Round 1,Heat 8,2014-12-12
8,2014,Billabong Pipe Masters,Round 1,Heat 9,2014-12-12
9,2014,Billabong Pipe Masters,Round 1,Heat 10,2014-12-12
10,2014,Billabong Pipe Masters,Round 1,Heat 11,2014-12-12
11,2014,Billabong Pipe Masters,Round 1,Heat 12,2014-12-12
12,2014,Billabong Pipe Masters,Round 2,Heat 1,2014-12-13
13,2014,Billabong Pipe Masters,Round 2,Heat 2,2014-12-13
14,2014,Billabong Pipe Masters,Round 2,Heat 3,2014-12-13
15,2014,Billabong Pipe Masters,Round 2,Heat 4,2014-12-13
16,2014,Billabong Pipe Masters,Round 2,Heat 5,2014-12-13
17,2014,Billabong Pipe Masters,Round 2,Heat 6,2014-12-13
18,2014,Billabong Pipe Masters,Round 2,Heat 7,2014-12-13
19,2014,Billabong Pipe Masters,Round 2,Heat 8,2014-12-13
20,2014,Billabong Pipe Masters,Round 2,Heat 9,2014-12-13
21,2014,Billabong Pipe Masters,Round 2,Heat 10,2014-12-13
22,2014,Billabong Pipe Masters,Round 2,Heat 11,2014-12-13
23,2014,Billabong Pipe Masters,Round 2,Heat 12,2014-12-13
24,2014,Billabong Pipe Masters,Round 3,Heat 1,2014-12-19
25,2014,Billabong Pipe Masters,Round 3,Heat 2,2014-12-19
26,2014,Billabong Pipe Masters,Round 3,Heat 3,2014-12-19
27,2014,Billabong Pipe Masters,Round 3,Heat 4,2014-12-19
28,2014,Billabong Pipe Masters,Round 3,Heat 5,2014-12-19
29,2014,Billabong Pipe Masters,Round 3,Heat 6,2014-12-19
30,2014,Billabong Pipe Masters,Round 3,Heat 7,2014-12-19
31,2014,Billabong Pipe Masters,Round 3,Heat 8,2014-12-19
32,2014,Billabong Pipe Masters,Round 3,Heat 9,2014-12-19
33,2014,Billabong Pipe Masters,Round 3,Heat 10,2014-12-19
34,2014,Billabong Pipe Masters,Round 3,Heat 11,2014-12-19
35,2014,Billabong Pipe Masters,Round 3,Heat 12,2014-12-19
36,2014,Billabong Pipe Masters,Round 4,Heat 1,2014-12-19
37,2014,Billabong Pipe Masters,Round 4,Heat 2,2014-12-19
38,2014,Billabong Pipe Masters,Round 4,Heat 3,2014-12-19
39,2014,Billabong Pipe Masters,Round 4,Heat 4,2014-12-19
40,2014,Billabong Pipe Masters,Round 5,Heat 1,2014-12-19
41,2014,Billabong Pipe Masters,Round 5,Heat 2,2014-12-19
42,2014,Billabong Pipe Masters,Round 5,Heat 3,2014-12-19
43,2014,Billabong Pipe Masters,Round 5,Heat 4,2014-12-19
44,2014,Billabong Pipe Masters,Quarterfinals,Heat 1,2014-12-19
45,2014,Billabong Pipe Masters,Quarterfinals,Heat 2,2014-12-19
46,2014,Billabong Pipe Masters,Quarterfinals,Heat 3,2014-12-19
47,2014,Billabong Pipe Masters,Quarterfinals,Heat 4,2014-12-19
48,2014,Billabong Pipe Masters,Semifinals,Heat 1,2014-12-19
49,2014,Billabong Pipe Masters,Semifinals,Heat 2,2014-12-19
50,2014,Billabong Pipe Masters,Final,Heat 1,2014-12-19
0,2015,Billabong Pipe Masters,Round 1,Heat 1,2015-12-10
1,2015,Billabong Pipe Masters,Round 1,Heat 2,2015-12-10
2,2015,Billabong Pipe Masters,Round 1,Heat 3,2015-12-10
3,2015,Billabong Pipe Masters,Round 1,Heat 4,2015-12-10
4,2015,Billabong Pipe Masters,Round 1,Heat 5,2015-12-10
5,2015,Billabong Pipe Masters,Round 1,Heat 6,2015-12-10
6,2015,Billabong Pipe Masters,Round 1,Heat 7,2015-12-10
7,2015,Billabong Pipe Masters,Round 1,Heat 8,2015-12-10
8,2015,Billabong Pipe Masters,Round 1,Heat 9,2015-12-10
9,2015,Billabong Pipe Masters,Round 1,Heat 10,2015-12-10
10,2015,Billabong Pipe Masters,Round 1,Heat 11,2015-12-10
11,2015,Billabong Pipe Masters,Round 1,Heat 12,2015-12-10
12,2015,Billabong Pipe Masters,Round 2,Heat 1,2015-12-11
13,2015,Billabong Pipe Masters,Round 2,Heat 2,2015-12-11
14,2015,Billabong Pipe Masters,Round 2,Heat 3,2015-12-11
15,2015,Billabong Pipe Masters,Round 2,Heat 4,2015-12-11
16,2015,Billabong Pipe Masters,Round 2,Heat 5,2015-12-11
17,2015,Billabong Pipe Masters,Round 2,Heat 6,2015-12-11
18,2015,Billabong Pipe Masters,Round 2,Heat 7,2015-12-11
19,2015,Billabong Pipe Masters,Round 2,Heat 8,2015-12-11
20,2015,Billabong Pipe Masters,Round 2,Heat 9,2015-12-11
21,2015,Billabong Pipe Masters,Round 2,Heat 10,2015-12-11
22,2015,Billabong Pipe Masters,Round 2,Heat 11,2015-12-11
23,2015,Billabong Pipe Masters,Round 2,Heat 12,2015-12-11
24,2015,Billabong Pipe Masters,Round 3,Heat 1,2015-12-16
25,2015,Billabong Pipe Masters,Round 3,Heat 2,2015-12-16
26,2015,Billabong Pipe Masters,Round 3,Heat 3,2015-12-16
27,2015,Billabong Pipe Masters,Round 3,Heat 4,2015-12-16
28,2015,Billabong Pipe Masters,Round 3,Heat 5,2015-12-16
29,2015,Billabong Pipe Masters,Round 3,Heat 6,2015-12-16
30,2015,Billabong Pipe Masters,Round 3,Heat 7,2015-12-16
31,2015,Billabong Pipe Masters,Round 3,Heat 8,2015-12-16
32,2015,Billabong Pipe Masters,Round 3,Heat 9,2015-12-16
33,2015,Billabong Pipe Masters,Round 3,Heat 10,2015-12-16
34,2015,Billabong Pipe Masters,Round 3,Heat 11,2015-12-16
35,2015,Billabong Pipe Masters,Round 3,Heat 12,2015-12-16
36,2015,Billabong Pipe Masters,Round 4,Heat 1,2015-12-16
37,2015,Billabong Pipe Masters,Round 4,Heat 2,2015-12-16
38,2015,Billabong Pipe Masters,Round 4,Heat 3,2015-12-16
39,2015,Billabong Pipe Masters,Round 4,Heat 4,2015-12-16
40,2015,Billabong Pipe Masters,Round 5,Heat 1,2015-12-16
41,2015,Billabong Pipe Masters,Round 5,Heat 2,2015-12-16
42,2015,Billabong Pipe Masters,Round 5,Heat 3,2015-12-16
43,2015,Billabong Pipe Masters,Round 5,Heat 4,2015-12-17
44,2015,Billabong Pipe Masters,Quarterfinals,Heat 1,2015-12-17
45,2015,Billabong Pipe Masters,Quarterfinals,Heat 2,2015-12-17
46,2015,Billabong Pipe Masters,Quarterfinals,Heat 3,2015-12-17
47,2015,Billabong Pipe Masters,Quarterfinals,Heat 4,2015-12-17
48,2015,Billabong Pipe Masters,Semifinals,Heat 1,2015-12-17
49,2015,Billabong Pipe Masters,Semifinals,Heat 2,2015-12-17
50,2015,Billabong Pipe Masters,Final,Heat 1,2015-12-17
0,2016,Billabong Pipe Masters,Round 1,Heat 1,2016-12-14
1,2016,Billabong Pipe Masters,Round 1,Heat 2,2016-12-14
2,2016,Billabong Pipe Masters,Round 1,Heat 3,2016-12-14
3,2016,Billabong Pipe Masters,Round 1,Heat 4,2016-12-14
4,2016,Billabong Pipe Masters,Round 1,Heat 5,2016-12-14
5,2016,Billabong Pipe Masters,Round 1,Heat 6,2016-12-14
6,2016,Billabong Pipe Masters,Round 1,Heat 7,2016-12-14
7,2016,Billabong Pipe Masters,Round 1,Heat 8,2016-12-14
8,2016,Billabong Pipe Masters,Round 1,Heat 9,2016-12-14
9,2016,Billabong Pipe Masters,Round 1,Heat 10,2016-12-14
10,2016,Billabong Pipe Masters,Round 1,Heat 11,2016-12-14
11,2016,Billabong Pipe Masters,Round 1,Heat 12,2016-12-14
12,2016,Billabong Pipe Masters,Round 2,Heat 1,2016-12-18
13,2016,Billabong Pipe Masters,Round 2,Heat 2,2016-12-18
14,2016,Billabong Pipe Masters,Round 2,Heat 3,2016-12-18
15,2016,Billabong Pipe Masters,Round 2,Heat 4,2016-12-18
16,2016,Billabong Pipe Masters,Round 2,Heat 5,2016-12-18
17,2016,Billabong Pipe Masters,Round 2,Heat 6,2016-12-18
18,2016,Billabong Pipe Masters,Round 2,Heat 7,2016-12-18
19,2016,Billabong Pipe Masters,Round 2,Heat 8,2016-12-18
20,2016,Billabong Pipe Masters,Round 2,Heat 9,2016-12-18
21,2016,Billabong Pipe Masters,Round 2,Heat 10,2016-12-18
22,2016,Billabong Pipe Masters,Round 2,Heat 11,2016-12-18
23,2016,Billabong Pipe Masters,Round 2,Heat 12,2016-12-18
