,year,event,round,heat,date,hour
0,2014,Billabong Pipe Masters,Round 1,Heat 1,12/12/14,6
1,2014,Billabong Pipe Masters,Round 1,Heat 2,12/12/14,6.5
2,2014,Billabong Pipe Masters,Round 1,Heat 3,12/12/14,7
3,2014,Billabong Pipe Masters,Round 1,Heat 4,12/12/14,7.5
4,2014,Billabong Pipe Masters,Round 1,Heat 5,12/12/14,8
5,2014,Billabong Pipe Masters,Round 1,Heat 6,12/12/14,8.5
6,2014,Billabong Pipe Masters,Round 1,Heat 7,12/12/14,9
7,2014,Billabong Pipe Masters,Round 1,Heat 8,12/12/14,9.5
8,2014,Billabong Pipe Masters,Round 1,Heat 9,12/12/14,10
9,2014,Billabong Pipe Masters,Round 1,Heat 10,12/12/14,10.5
10,2014,Billabong Pipe Masters,Round 1,Heat 11,12/12/14,11
11,2014,Billabong Pipe Masters,Round 1,Heat 12,12/12/14,11.5
12,2014,Billabong Pipe Masters,Round 2,Heat 1,12/13/14,6
13,2014,Billabong Pipe Masters,Round 2,Heat 2,12/13/14,6.5
14,2014,Billabong Pipe Masters,Round 2,Heat 3,12/13/14,7
15,2014,Billabong Pipe Masters,Round 2,Heat 4,12/13/14,7.5
16,2014,Billabong Pipe Masters,Round 2,Heat 5,12/13/14,8
17,2014,Billabong Pipe Masters,Round 2,Heat 6,12/13/14,8.5
18,2014,Billabong Pipe Masters,Round 2,Heat 7,12/13/14,9
19,2014,Billabong Pipe Masters,Round 2,Heat 8,12/13/14,9.5
20,2014,Billabong Pipe Masters,Round 2,Heat 9,12/13/14,10
21,2014,Billabong Pipe Masters,Round 2,Heat 10,12/13/14,10.5
22,2014,Billabong Pipe Masters,Round 2,Heat 11,12/13/14,11
23,2014,Billabong Pipe Masters,Round 2,Heat 12,12/13/14,11.5
24,2014,Billabong Pipe Masters,Round 3,Heat 1,12/19/14,6
25,2014,Billabong Pipe Masters,Round 3,Heat 2,12/19/14,6.5
26,2014,Billabong Pipe Masters,Round 3,Heat 3,12/19/14,7
27,2014,Billabong Pipe Masters,Round 3,Heat 4,12/19/14,7.5
28,2014,Billabong Pipe Masters,Round 3,Heat 5,12/19/14,8
29,2014,Billabong Pipe Masters,Round 3,Heat 6,12/19/14,8.5
30,2014,Billabong Pipe Masters,Round 3,Heat 7,12/19/14,9
31,2014,Billabong Pipe Masters,Round 3,Heat 8,12/19/14,9.5
32,2014,Billabong Pipe Masters,Round 3,Heat 9,12/19/14,10
33,2014,Billabong Pipe Masters,Round 3,Heat 10,12/19/14,10.5
34,2014,Billabong Pipe Masters,Round 3,Heat 11,12/19/14,11
35,2014,Billabong Pipe Masters,Round 3,Heat 12,12/19/14,11.5
36,2014,Billabong Pipe Masters,Round 4,Heat 1,12/19/14,12
37,2014,Billabong Pipe Masters,Round 4,Heat 2,12/19/14,12.5
38,2014,Billabong Pipe Masters,Round 4,Heat 3,12/19/14,13
39,2014,Billabong Pipe Masters,Round 4,Heat 4,12/19/14,13.5
40,2014,Billabong Pipe Masters,Round 5,Heat 1,12/19/14,14
41,2014,Billabong Pipe Masters,Round 5,Heat 2,12/19/14,14.5
42,2014,Billabong Pipe Masters,Round 5,Heat 3,12/19/14,15
43,2014,Billabong Pipe Masters,Round 5,Heat 4,12/19/14,15.5
44,2014,Billabong Pipe Masters,Quarterfinals,Heat 1,12/19/14,16
45,2014,Billabong Pipe Masters,Quarterfinals,Heat 2,12/19/14,16.5
46,2014,Billabong Pipe Masters,Quarterfinals,Heat 3,12/19/14,17
47,2014,Billabong Pipe Masters,Quarterfinals,Heat 4,12/19/14,17.5
48,2014,Billabong Pipe Masters,Semifinals,Heat 1,12/19/14,18
49,2014,Billabong Pipe Masters,Semifinals,Heat 2,12/19/14,18.5
50,2014,Billabong Pipe Masters,Final,Heat 1,12/19/14,19
0,2015,Billabong Pipe Masters,Round 1,Heat 1,12/10/15,6
1,2015,Billabong Pipe Masters,Round 1,Heat 2,12/10/15,6.5
2,2015,Billabong Pipe Masters,Round 1,Heat 3,12/10/15,7
3,2015,Billabong Pipe Masters,Round 1,Heat 4,12/10/15,7.5
4,2015,Billabong Pipe Masters,Round 1,Heat 5,12/10/15,8
