,year,event,round,heat,name,scores
0,2008,Billabong Pipeline Masters,Round 2,Heat 1 ,Kamalei Alexander,"[6.33, 3.0, 5.57, 5.07, 0.67]"
1,2008,Billabong Pipeline Masters,Round 2,Heat 1 ,Mikael Picon,"[2.67, 1.0, 5.17, 5.77, 5.9, 4.43]"
2,2008,Billabong Pipeline Masters,Round 2,Heat 2 ,Evan Valiere,"[2.67, 0.57, 1.57, 5.5, 1.67, 1.37, 9.07]"
3,2008,Billabong Pipeline Masters,Round 2,Heat 2 ,Mick Campbell,"[1.5, 3.17, 5.67, 1.0, 8.67]"
4,2008,Billabong Pipeline Masters,Round 2,Heat 3 ,Jamie O'Brien,"[5.0, 6.0, 1.33, 3.83, 1.73, 2.23, 5.73, 9.0]"
5,2008,Billabong Pipeline Masters,Round 2,Heat 3 ,Roy Powers,"[4.17, 6.67, 2.2]"
6,2008,Billabong Pipeline Masters,Round 2,Heat 4 ,Chris Ward,"[4.5, 2.83, 9.93, 5.17, 1.07, 0.93, 2.33, 9.97, 1.83, 1.77]"
7,2008,Billabong Pipeline Masters,Round 2,Heat 4 ,Tory Barron,"[1.17, 8.33, 0.93, 1.9, 3.4]"
8,2008,Billabong Pipeline Masters,Round 2,Heat 5 ,Damien Hobgood,"[4.83, 2.5, 5.5, 5.57, 4.5, 8.83, 6.4]"
9,2008,Billabong Pipeline Masters,Round 2,Heat 5 ,Dave Wassel,"[1.5, 0.2, 2.2, 0.53, 3.83, 6.07]"
10,2008,Billabong Pipeline Masters,Round 2,Heat 6 ,Dusty Payne,"[1.17, 1.6, 0.73, 2.17, 1.73, 8.83, 2.93, 6.33, 8.33, 6.83]"
11,2008,Billabong Pipeline Masters,Round 2,Heat 6 ,Heitor Alves,"[1.07, 0.43, 2.0, 3.5, 0.83, 8.37]"
12,2008,Billabong Pipeline Masters,Round 2,Heat 7 ,Daniel Wills,"[7.83, 0.43, 1.8, 8.43, 5.17, 6.67, 0.97]"
13,2008,Billabong Pipeline Masters,Round 2,Heat 7 ,Leonardo Neves,"[1.5, 1.7, 1.4, 0.83, 5.33, 0.23, 6.77, 3.1]"
14,2008,Billabong Pipeline Masters,Round 2,Heat 8 ,Ezra Sitt,"[6.33, 1.1, 5.33, 1.17, 6.67]"
15,2008,Billabong Pipeline Masters,Round 2,Heat 8 ,Dayyan Neve,"[0.67, 3.67, 7.17, 2.93, 2.07]"
16,2008,Billabong Pipeline Masters,Round 2,Heat 9 ,Kieren Perrow,"[8.33, 2.33, 9.17, 4.0]"
17,2008,Billabong Pipeline Masters,Round 2,Heat 9 ,John John Florence,"[6.17, 1.67, 0.83, 6.5, 8.33]"
18,2008,Billabong Pipeline Masters,Round 2,Heat 10 ,Aritz Aranburu,"[1.9, 4.83, 0.9, 9.67, 6.57]"
19,2008,Billabong Pipeline Masters,Round 2,Heat 10 ,Pancho Sullivan,"[4.0, 2.5, 5.33, 0.83, 1.83, 8.67, 7.17, 2.17]"
20,2008,Billabong Pipeline Masters,Round 2,Heat 11 ,Tim Reyes,"[0.6, 8.0]"
21,2008,Billabong Pipeline Masters,Round 2,Heat 11 ,Mark Healey,"[1.67, 1.17, 2.27]"
22,2008,Billabong Pipeline Masters,Round 2,Heat 12 ,Marcus Hickman,"[0.2, 2.0, 1.93, 2.9, 6.5, 5.33, 1.2]"
23,2008,Billabong Pipeline Masters,Round 2,Heat 12 ,Ben Dunn,"[4.67, 0.43, 0.73, 5.13]"
24,2008,Billabong Pipeline Masters,Round 2,Heat 13 ,Bruce Irons,"[1.33, 7.67, 2.67, 9.87, 2.1, 7.33]"
25,2008,Billabong Pipeline Masters,Round 2,Heat 13 ,Torrey Meister,"[3.67, 0.33, 9.7, 2.67, 2.87]"
26,2008,Billabong Pipeline Masters,Round 2,Heat 14 ,Kekoa Bacalso,"[7.17, 7.67, 0.77, 7.43, 1.93]"
27,2008,Billabong Pipeline Masters,Round 2,Heat 14 ,Makuakai Rothman,"[2.5, 0.63, 5.5, 7.0, 5.67, 1.93]"
28,2008,Billabong Pipeline Masters,Round 2,Heat 15 ,Shane Dorian,"[5.17, 1.17, 7.83]"
29,2008,Billabong Pipeline Masters,Round 2,Heat 15 ,Gregoire Sylvain,"[5.17, 7.83]"
30,2008,Billabong Pipeline Masters,Round 2,Heat 16 ,Dean Morrison,"[1.33, 0.67, 0.73, 0.33, 1.6, 1.67, 9.73, 4.5]"
31,2008,Billabong Pipeline Masters,Round 2,Heat 16 ,Jesse Merle-Jones,"[1.33, 1.77, 2.57, 1.23, 4.67]"
32,2008,Billabong Pipeline Masters,Round 1,Heat 1 ,Kamalei Alexander,"[8.83, 6.83, 1.5]"
33,2008,Billabong Pipeline Masters,Round 1,Heat 1 ,Daniel Ross,"[9.93, 1.23]"
34,2008,Billabong Pipeline Masters,Round 1,Heat 2 ,Jesse Merle-Jones,"[2.83, 0.2, 1.57, 7.17]"
35,2008,Billabong Pipeline Masters,Round 1,Heat 2 ,Tj Barron,"[3.5, 1.83, 2.77, 0.27, 2.9, 1.8, 4.83, 0.5]"
36,2008,Billabong Pipeline Masters,Round 1,Heat 3 ,Ezra Sitt,"[1.33, 7.5, 3.83]"
37,2008,Billabong Pipeline Masters,Round 1,Heat 3 ,Daniel Jones,"[1.17, 5.67, 1.67, 1.63, 2.83, 1.4, 1.97]"
